"","Brand","Rank","RankLastYear","Value","ValueLastYear","Rating","RatingLastYear","Year","PreviousYear"
"85","Evergrande",85,79,20188.86,20552.42,"AA+","AA",2021,2020
"86","Cisco",86,67,20122.38,23321.8,"AA+","AA+",2021,2020
"87","Country Garden",87,102,19490.22,17132.49,"AA","AA-",2021,2020
"88","Nestle",88,80,19427.99,20308.63,"AAA","AAA-",2021,2020
"89","Vodafone",89,90,19252.35,19120.55,"AA+","AA+",2021,2020
"90","Mastercard",90,85,19117.21,19838.18,"AAA-","AAA-",2021,2020
"91","Orange",91,95,19091.87,18130.55,"AA+","AA+",2021,2020
"92","LG Group",92,101,18519.05,17144,"AA+","AA",2021,2020
"93","Dell Technologies",93,99,18427,17630,"AA","AA",2021,2020
"94","Bosch",94,86,18380.74,19595.56,"AA+","AA+",2021,2020
"95","Pepsi",95,91,18365.05,18921.74,"AAA","AAA",2021,2020
"96","Total",96,70,18122.48,23156.65,"AA+","AA+",2021,2020
"97","General Electric",97,64,18028.43,24204.55,"AA+","AAA-",2021,2020
"98","SAP",98,107,17991.5,16549.67,"AA-","AA-",2021,2020
"99","IKEA",99,87,17977.19,19498.79,"AAA-","AAA-",2021,2020
"100","Volvo",100,105,17750,16914,"AA+","AA",2021,2020
